nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Edificio Noble I.E.S. Cardenal López de Mendoza,,1538,42.3367712,-3.7045235,3,NTJI7307X8E2,OpenStreetMap,,True,,,exterior_visible
Plaza de Toros,,1711,40.3786057,-5.7614939,3,65V7J06BDP8M,OpenStreetMap,,True,,,exterior_visible
La Isla Residencial,Eduardo Adaro Magro,,42.3376576,-3.7074648,3,COM165L1MZ34,OpenStreetMap,,True,,,exterior_visible
,Saturnino Martínez Ruiz,,42.3441767,-3.6998538,3,90LG8LDL6N27,OpenStreetMap,,True,,,exterior_visible
,Martín Tárrega Pérez,,42.3465239,-3.6837807,3,33N48POO8BN4,OpenStreetMap,,True,,,exterior_visible
,Francisco Coello de Portugal,,40.9692545,-5.6351712,3,VQ059YND946E,OpenStreetMap,,True,,,exterior_visible
Hospital de la Concepción,,1567,42.3359529,-3.701121,3,L61FBCGB6462,OpenStreetMap,,True,,,exterior_visible
,Vicente Lampérez y Romea,1909-03-19,42.3372917,-3.7043185,3,03LD5WFE5K16,OpenStreetMap,,True,,,exterior_visible
Muralla romana de Lugo,,263..276,43.0097438,-7.5539662,3,586V16BBQ0TX,OpenStreetMap,,True,,,exterior_visible
Palacio de Castilfalé,,1550,42.3412912,-3.7051823,3,9F09NO99AMJ0,OpenStreetMap,,True,"Category:Palacio de Castilfalé, Burgos",,exterior_visible
Palacio Arzobispal-Casa de la Iglesia,Julián de Apraiz;Juan Luque,1916,42.3391966,-3.7070153,3,99ZA33H2R0FQ,OpenStreetMap,,True,,,exterior_visible
Las Adelas,Arturo Mélida,1879,42.3405586,-3.7123342,3,Y7W7ND87L5K5,OpenStreetMap,,True,,,exterior_visible
,José Luis Gutiérrez Martínez,15-12-1929,42.3425559,-3.7121213,3,I64D9W3PB5S2,OpenStreetMap,,True,,,exterior_visible
Igrexa de San Pedro,,C13,43.0114621,-7.5581625,3,4ED1P01H9TJ8,OpenStreetMap,,True,,,exterior_visible
,José Luis Gutiérrez Martínez,1946,42.341901,-3.6963475,3,05B8T620ANMJ,OpenStreetMap,,True,,,exterior_visible
,Jose Antonio Olano López de Letona,,42.3476911,-3.6953957,3,729DNV18R4NQ,OpenStreetMap,,True,,,exterior_visible
Colexio de San Clemente,,1609,42.8781715,-8.5471917,3,EDG3925LUG02,OpenStreetMap,,True,Category:Colexio de San Clemente (Santiago de Compostela),,exterior_visible
Concello do Porriño,Antonio Palacios Ramilo,,42.161881,-8.6205769,3,2WUV23PJ93Z3,OpenStreetMap,,True,Category:Casa do Concello of O Porriño,,exterior_visible
