nombre_obra,arquitecto,año_construccion,latitud,longitud,importancia,id,añadido_por,categoria,visitable,foto_url,enlace_url,estado_acceso
Iglesia de Nuestra Señora de Monteolivete,,,39.45897180221362,-0.3587348133078586,1,CTAV2586,CTAV,Edificio religioso,false,https://arquitecturavalencia.es/img/comprimido/1541.jpg,https://guiactav.com/obra/2586,exterior_visible
Parroquia Jesús Maestro,"José Antonio Corrales Gutiérrez, Ramón Vázquez Molezún",,39.461711591883045,-0.36289545935071815,2,CTAV2219,CTAV,Edificio religioso,false,https://arquitecturavalencia.es/img/comprimido/866.jpg,https://guiactav.com/obra/2219,exterior_visible
Puente del Ángel Custodio,Arturo Piera (Ing.),,39.463387155413194,-0.35983712735802964,1,CTAV2688,CTAV,Puentes,false,https://arquitecturavalencia.es/img/comprimido/2008.jpg,https://guiactav.com/obra/2688,exterior_visible
Edificio Torre de Francia,"Rafael Mira Fornés, Quina Esparza Pedrol, Francisco Quiles Herrero, Julio Gómez-Perretta de Mateo",,39.4597960225098,-0.3524976574932087,2,CTAV2127,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/684.jpg,https://guiactav.com/obra/2127,exterior_visible
Edificio GM Kapital,"Pepe Font Jimenez, Curro Mestre Jordá",,39.46080978836531,-0.3526004429039517,1,CTAV2104,CTAV,"Hotel, Colegio Mayor",false,https://arquitecturavalencia.es/img/comprimido/642.jpg,https://guiactav.com/obra/2104,exterior_visible
Colegio Nuestra Señora de Loreto,Luis Albert Ballesteros,,39.46353593763846,-0.3617648092319974,2,CTAV2308,CTAV,Centro educativo,false,https://arquitecturavalencia.es/img/comprimido/1021.jpg,https://guiactav.com/obra/2308,exterior_visible
Ciudad de la Justicia,Alfredo Batuecas Torrego,,39.45424419111309,-0.3560713640004462,2,CTAV2135,CTAV,Edificio administrativo,false,https://arquitecturavalencia.es/img/comprimido/701.jpg,https://guiactav.com/obra/2135,exterior_visible
Edificio de viviendas L,Óscar Tusquets Blanca,,39.45980375024791,-0.35147768206011587,2,CTAV2144,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/718.jpg,https://guiactav.com/obra/2144,exterior_visible
Conservatorio superior de música Joaquín Rodrigo,Ignacio Belenguer Zamit,,39.453289501354234,-0.358226625364848,1,CTAV2082,CTAV,Centro educativo,false,https://arquitecturavalencia.es/img/comprimido/596.jpg,https://guiactav.com/obra/2082,exterior_visible
Edificio Jiménez de la Iglesia,Juan José Estellés Ceba,,39.464292157967215,-0.3617505458358145,1,CTAV2271,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/960.jpg,https://guiactav.com/obra/2271,exterior_visible
Centro de Desarrollo Turístico (CDT),"Miguel Martín Velasco, CB Arquitectes Associats",,39.46481385208718,-0.3585118724955735,2,CTAV2146,CTAV,Oficina,false,https://arquitecturavalencia.es/img/comprimido/720.jpg,https://guiactav.com/obra/2146,exterior_visible
Edificio Salom I,Juan Francisco Guardiola Martínez,,39.46329143866415,-0.36400329381400576,2,CTAV2332,CTAV,Edificio de viviendas,false,https://arquitecturavalencia.es/img/comprimido/1062.jpg,https://guiactav.com/obra/2332,exterior_visible
